070, 4.923, 351.733, 1.25561
071, 4.461, 345.969, 3.82005
072, 3.798, 349.291, 3.28229
073, 4.394, 351.992, 6.37899
074, 4.514, 355.512, 1.78004
075, 4.176, 354.988, 5.62629
076, 4.060, 359.828, 6.86332
141, 4.902, 343.807, 8.81615
142, 4.251, 341.673, 12.1729
143, 4.715, 346.751, 9.40949
144, 4.638, 352.289, 12.7606
145, 4.983, 3.65068, 20.2067
288, 3.604, 342.501, 24.6016
290, 4.789, 340.439, 29.3076
291, 4.602, 350.159, 23.7403
292, 4.490, 351.345, 23.4041
293, 4.900, 346.778, 25.4683
294, 2.654, 345.944, 28.0828
295, 4.832, 359.440, 25.1414
296, 4.512, 4.58191, 36.7852
364, 3.016, 340.751, 30.2212
365, 4.607, 4.27290, 38.6816
414, 4.640, 340.129, 44.2763
415, 0.000, 354.836, 44.4935
416, 4.266, 354.534, 43.2681
417, 4.126, 355.102, 44.3339
466, 4.759, 346.046, 50.0521
467, 4.558, 348.138, 49.4062
468, 4.662, 339.343, 51.5451
469, 3.964, 354.391, 46.4582
470, 0.000, 350.757, 48.3652
499, 4.628, 358.596, 57.4994
500, 4.998, 356.764, 58.6520
