134, 2.861, 296.56491643, 10.61326319
135, 0, 302.05750105, 7.90844994
136, 4.66, 308.82723526, 14.67421103
137, 3.677, 309.38723308, 14.59511021
138, 4.703, 317.58542098, 10.13157595
139, 4.544, 318.62005755, 10.0069808
140, 4.789, 335.37947949, 12.20518618
141, 4.902, 343.80696167, 8.81615347
142, 4.251, 341.67325688, 12.17288835
143, 4.715, 346.75108748, 9.40949244
144, 4.638, 352.28874138, 12.76055418
145, 4.983, 3.65068367, 20.20669856
146, 3.712, 22.87087592, 15.34582789
147, 4.771, 17.86341594, 21.03465245
148, 4.452, 47.9073618, 19.7266757
149, 4.867, 48.72540591, 21.04444737
150, 4.463, 61.17381933, 22.08192654
151, 3.75, 64.9483497, 15.6276446
152, 4.785, 67.64013379, 16.19401556
153, 3.936, 67.14374055, 15.96215799
154, 3.407, 67.16558706, 15.87088179
155, 4.504, 66.58641399, 15.61828259
156, 4.686, 69.81876109, 15.91797839
157, 3.86, 65.73371968, 17.54251527
158, 4.81, 66.0240013, 17.44413435
159, 4.262, 66.37244991, 17.92790534
160, 4.947, 64.31525576, 20.57859111
161, 3.635, 67.1541614, 19.18043252
162, 4.215, 66.34236228, 22.29387398
163, 4.85, 77.42483871, 15.59723483
164, 4.652, 76.14228976, 15.40410506
165, 4.986, 76.86252944, 18.64505359
166, 4.633, 75.77394436, 21.58996112
167, 4.816, 85.32381687, 16.53414321
168, 4.639, 83.05313167, 18.59423706
169, 4.844, 81.90869034, 21.9369655
170, 4.923, 93.01366765, 16.13040337
171, 4.462, 88.59573271, 20.27619413
172, 4.662, 90.97994038, 20.13844671
173, 4.102, 97.24078288, 20.2121344
174, 3.575, 109.52324564, 16.54038384
175, 4.05, 106.02721351, 20.57029288
176, 4.048, 131.17125265, 18.15430914
177, 4.654, 130.8214428, 21.46849861
178, 4.834, 154.93403667, 19.47091207
179, 4.405, 165.58239885, 20.17984033
180, 3.304, 168.56002313, 15.4295709
181, 4.585, 176.99639963, 20.21893252
182, 4.835, 185.17927905, 17.79287347
183, 4.922, 194.73101062, 17.40944591
184, 4.427, 197.49702877, 17.52944436
185, 4.536, 206.81559567, 17.45689887
186, 4.21, 207.36933719, 15.79791084
187, 4.981, 214.93847695, 16.30695159
188, 4.71, 221.31025369, 16.96427649
189, 4.877, 220.18153253, 16.41834243
190, 3.653, 236.5468981, 15.42181924
191, 4.513, 235.38773106, 19.67040458
192, 4.273, 237.18490292, 18.14156492
193, 4.914, 237.81628762, 20.97791955
194, 4.806, 270.01423021, 16.75091743
195, 4.852, 270.37669898, 21.5957774
196, 4.319, 272.18954515, 20.81455574
