5, 4.7090,28.6376,3.2745
6, 4.9950,22.7964,6.2349
7, 4.5870,25.6080,5.5768
12, 4.1000,30.7601,2.8490
15, 4.9680,39.2209,5.6703
17, 2.7160,45.8211,4.1591
18, 4.9190,50.0910,3.4341
21, 4.3530,54.4655,0.4595
27, 0.0000,65.1748,3.8105
29, 3.8880,61.0446,6.0374
33, 4.6200,74.8861,1.7393
37, 3.6380,73.0573,5.6336
38, 3.2220,72.7182,6.9903
40, 4.8370,81.4361,1.8603
41, 4.6200,78.5739,2.8802
43, 4.9510,80.9607,3.5591
44, 4.5740,81.9609,3.1086
48, 4.9090,88.3596,1.8566
53, 4.5030,85.0499,4.1289
54, 4.4390,82.9529,5.9593
63, 4.4230,96.1964,4.5801
66, 4.5930,102.2153,2.3885
69, 4.4860,98.4854,7.3161
82, 4.5240,120.8157,2.2792
85, 4.2480,131.0568,3.3278
86, 4.5770,129.9398,3.2721
89, 4.1320,129.6683,5.6349
90, 3.4880,131.9490,6.3466
91, 4.3320,132.3621,5.7651
92, 3.2100,134.1021,5.8704
93, 3.8530,138.8399,2.2329
97, 4.8180,144.8651,4.5608
106, 4.9680,165.3878,3.5119
108, 4.9980,165.4361,5.9958
109, 4.6600,166.5035,7.2298
110, 4.0310,170.5321,5.9213
111, 3.6490,177.9202,1.6548
114, 4.2090,176.7120,6.4196
116, 4.6580,180.4642,6.5041
119, 3.5770,194.1456,3.2892
122, 4.9760,199.6438,5.3641
125, 4.9160,203.7764,3.5556
127, 4.2500,210.6565,1.4463
128, 4.9640,213.3096,2.3136
131, 3.7160,221.8057,1.8058
137, 4.5130,225.9682,2.0092
142, 3.7140,237.9431,4.4121
143, 4.4820,236.8457,7.2858
144, 4.8580,245.7621,0.9755
151, 4.1470,247.9706,1.9341
159, 4.4960,261.8674,4.1144
163, 3.7370,267.2139,2.6909
164, 2.8790,266.1055,4.5489
166, 4.4320,270.6815,1.2950
168, 3.9590,270.4015,2.9209
169, 4.2170,271.6053,2.4914
172, 4.9570,275.4567,3.3757
173, 4.7420,270.3039,4.3578
177, 4.9960,281.4502,2.0694
179, 4.5920,284.2934,4.2180
180, 4.9300,284.2994,4.2165
185, 4.7290,291.8743,0.3662
187, 3.3900,291.6155,3.1420
192, 4.0580,298.3622,1.0442
